Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Condition,Status
pure-rose-honey-lip-nourishing-balm,بلسم الشفاه المغذي بالورد وشمع العسل — Pure Rose Lip Balm,<p>مرطب شفاه طبيعي يدوم طويلاً يجمع بين خلاصة الورد البلدي وشمع العسل العضوي لحماية الشفاه من الجفاف والتشققات.</p>,Natura Luxe Skincare,Beauty > Skin Care,Lip Care,"Facial Skincare, Body Care, بلسم الشفاه, ورد",TRUE,Title,Default Title,,,,,NAT-LIP-011,250,shopify,100,deny,manual,95.00,130.00,TRUE,FALSE,,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?q=80&w=800&auto=format&fit=crop,1,بلسم الشفاه المغذي بالورد وشمع العسل — Pure Rose Lip Balm,FALSE,بلسم الشفاه المغذي بالورد وشمع العسل — Pure Rose Lip Balm,بلسم الشفاه المغذي بالورد وشمع العسل — Pure Rose Lip Balm,new,active
nutritive-argan-sweet-almond-hair-mask,ماسك قناع الشعر باللوز وزيت الأركان — Nutritive Hair Mask,<p>علاج ترطيب مكثف للشعر التالف والمجهد يعيد اللمعان والقوة لخصلات الشعر من الجذور حتى الأطراف.</p>,Natura Luxe Skincare,Beauty > Skin Care,Hair Care,"Body Care, ماسك الشعر, أركان",TRUE,Title,Default Title,,,,,NAT-HAR-012,250,shopify,100,deny,manual,270.00,340.00,TRUE,FALSE,,https://images.unsplash.com/photo-1535585209827-a15fcdbc4c2d?q=80&w=800&auto=format&fit=crop,1,ماسك قناع الشعر باللوز وزيت الأركان — Nutritive Hair Mask,FALSE,ماسك قناع الشعر باللوز وزيت الأركان — Nutritive Hair Mask,ماسك قناع الشعر باللوز وزيت الأركان — Nutritive Hair Mask,new,active
cooling-cucumber-peppermint-eye-serum,سيروم محيط العين بالقطر والنعناع البري — Cooling Eye Serum,<p>سيروم بكرة دوارة من الفولاذ البارد لتهدئة انتفاخات محيط العين وتفتيح الهالات السوداء بخلاصة الخيار والنعناع.</p>,Natura Luxe Skincare,Beauty > Skin Care,Eye Care,"Facial Skincare, سيروم العين, هالات سوداء",TRUE,Title,Default Title,,,,,NAT-EYE-013,250,shopify,100,deny,manual,310.00,390.00,TRUE,FALSE,,https://images.unsplash.com/photo-1617897903246-719242758050?q=80&w=800&auto=format&fit=crop,1,سيروم محيط العين بالقطر والنعناع البري — Cooling Eye Serum,FALSE,سيروم محيط العين بالقطر والنعناع البري — Cooling Eye Serum,سيروم محيط العين بالقطر والنعناع البري — Cooling Eye Serum,new,active
pure-sweet-almond-botanical-oil,زيت اللوز الحلو المغذي للبشرة الحساسة — Sweet Almond Oil,<p>زيت معصور على البارد نقي 100% مناسب لجميع أنواع البشرة والبشرة الحساسة للترطيب والتدليك اليومي.</p>,Natura Luxe Skincare,Beauty > Skin Care,Rare Oils,"Rare Oils, زيت اللوز, زيوت نادرة",TRUE,Title,Default Title,,,,,NAT-OIL-014,250,shopify,100,deny,manual,220.00,280.00,TRUE,FALSE,,https://images.unsplash.com/photo-1608248597266-c0c4515a4437?q=80&w=800&auto=format&fit=crop,1,زيت اللوز الحلو المغذي للبشرة الحساسة — Sweet Almond Oil,FALSE,زيت اللوز الحلو المغذي للبشرة الحساسة — Sweet Almond Oil,زيت اللوز الحلو المغذي للبشرة الحساسة — Sweet Almond Oil,new,active
royal-moroccan-hammam-ritual-set,مجموعة طقوس الحمام الملكي — Royal Moroccan Hammam Set,<p>مجموعة فاخرة تتضمن الصابون البلدي الملكي، قناع الغاسول المخصب، ليفة كيس ممتازة وزيت الجسم المنعش.</p>,Natura Luxe Skincare,Beauty > Skin Care,Gift Set,"Gift Sets, Best Sellers, طقوس الحمام, مجموعات هدايا",TRUE,Title,Default Title,,,,,NAT-SET-015,250,shopify,100,deny,manual,650.00,850.00,TRUE,FALSE,,https://images.unsplash.com/photo-1540555700478-4be289fbecef?q=80&w=800&auto=format&fit=crop,1,مجموعة طقوس الحمام الملكي — Royal Moroccan Hammam Set,FALSE,مجموعة طقوس الحمام الملكي — Royal Moroccan Hammam Set,مجموعة طقوس الحمام الملكي — Royal Moroccan Hammam Set,new,active
radiance-youth-botanical-facial-set,مجموعة التوهج والنضارة للوجه — Radiance Botanical Set,<p>ثنائية تجديد الشباب الفاخرة: سيروم الأركان والورد + أكسير التين الشوكي النادر لترطيب ونضارة لا مثيل لها.</p>,Natura Luxe Skincare,Beauty > Skin Care,Gift Set,"Gift Sets, Best Sellers, مجموعة النضارة, هدايا فاخرة",TRUE,Title,Default Title,,,,,NAT-SET-016,250,shopify,100,deny,manual,790.00,990.00,TRUE,FALSE,,https://images.unsplash.com/photo-1570172619644-dfd03ed5d881?q=80&w=800&auto=format&fit=crop,1,مجموعة التوهج والنضارة للوجه — Radiance Botanical Set,FALSE,مجموعة التوهج والنضارة للوجه — Radiance Botanical Set,مجموعة التوهج والنضارة للوجه — Radiance Botanical Set,new,active
calming-lavender-rosemary-massage-oil,زيت اللافندر والنعناع للاسترخاء والتدليك — Lavender Massage Oil,<p>مزيج مهدئ من الزيوت النباتية العطرية المخصصة للمساعدة على الاسترخاء العميق وتخفيف التوتر العضلي.</p>,Natura Luxe Skincare,Beauty > Skin Care,Body Oil,"Body Care, Rare Oils, زيت المساج, لافندر",TRUE,Title,Default Title,,,,,NAT-OIL-017,250,shopify,100,deny,manual,240.00,310.00,TRUE,FALSE,,https://images.unsplash.com/photo-1608248597266-c0c4515a4437?q=80&w=800&auto=format&fit=crop,1,زيت اللافندر والنعناع للاسترخاء والتدليك — Lavender Massage Oil,FALSE,زيت اللافندر والنعناع للاسترخاء والتدليك — Lavender Massage Oil,زيت اللافندر والنعناع للاسترخاء والتدليك — Lavender Massage Oil,new,active
hand-velvet-cream-argan-rose,كريم اليدين بالورد والأركان المغذي — Hand Velvet Cream,<p>كريم يدين خفيف وغني بالمغذيات يمتص بسرعة ليترك اليدين بنعومة حريرية ورائحة ورد جوري ساحرة.</p>,Natura Luxe Skincare,Beauty > Skin Care,Hand Care,"Body Care, كريم اليدين, الورد",TRUE,Title,Default Title,,,,,NAT-HND-018,250,shopify,100,deny,manual,140.00,180.00,TRUE,FALSE,,https://images.unsplash.com/photo-1598440947619-2c35fc9aa908?q=80&w=800&auto=format&fit=crop,1,كريم اليدين بالورد والأركان المغذي — Hand Velvet Cream,FALSE,كريم اليدين بالورد والأركان المغذي — Hand Velvet Cream,كريم اليدين بالورد والأركان المغذي — Hand Velvet Cream,new,active
gentle-jojoba-exfoliating-facial-polish,مقشر الوجه بلطف بحبيبات الجوجوبا — Jojoba Facial Polish,<p>مقشر دقيق بحبيبات الجوجوبا الكروية الدقيقة لإزالة الخلايا الميتة بلطف وتنعيم البشرة دون التسبب في أي تهيج.</p>,Natura Luxe Skincare,Beauty > Skin Care,Facial Scrub,"Facial Skincare, مقشر الوجه, جوجوبا",TRUE,Title,Default Title,,,,,NAT-SKN-019,250,shopify,100,deny,manual,230.00,290.00,TRUE,FALSE,,https://images.unsplash.com/photo-1556228720-195a672e8a03?q=80&w=800&auto=format&fit=crop,1,مقشر الوجه بلطف بحبيبات الجوجوبا — Jojoba Facial Polish,FALSE,مقشر الوجه بلطف بحبيبات الجوجوبا — Jojoba Facial Polish,مقشر الوجه بلطف بحبيبات الجوجوبا — Jojoba Facial Polish,new,active
sleep-well-aromatherapy-pillow-mist,بخاخ الزيوت العطرية للنوم والوسادة — Sleep Well Pillow Mist,<p>بخاخ عطري طبيعي مستخلص من اللافندر والبابونج لتهيئة الأجواء لنوم عميق ومريح.</p>,Natura Luxe Skincare,Beauty > Skin Care,Aromatherapy,"Body Care, بخاخ الوسادة, لافندر",TRUE,Title,Default Title,,,,,NAT-MST-020,250,shopify,100,deny,manual,160.00,210.00,TRUE,FALSE,,https://images.unsplash.com/photo-1617897903246-719242758050?q=80&w=800&auto=format&fit=crop,1,بخاخ الزيوت العطرية للنوم والوسادة — Sleep Well Pillow Mist,FALSE,بخاخ الزيوت العطرية للنوم والوسادة — Sleep Well Pillow Mist,بخاخ الزيوت العطرية للنوم والوسادة — Sleep Well Pillow Mist,new,active
